Organization,Category,Street Address,City,State,Zip Code,Latitude,Longitude,Phone Number,Status,Free Services,Paid Services,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
"Youth Outpatient Services (Behavioral Health Services, Inc. (BHS))",Mental Health,3421 East Olympic Boulevard,Los Angeles,CA,90023,34.0189828,-118.2045099,323-221-1746,Open,,"addiction & recovery, outpatient treatment, mental health care",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
"Assessment (Behavioral Health Services, Inc. (BHS))",Mental Health,3421 East Olympic Boulevard,Los Angeles,CA,90023,34.0189828,-118.2045099,323-262-1786,Open,"substance abuse counseling, understand mental health, mental health care, mental health evaluation, navigating the system, one-on-one support",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Substance Use Recovery Program (The Center in Hollywood),Mental Health,6636 Selma Avenue,Los Angeles,CA,90028,34.0995242,-118.3344788,323-378-3225,Open,"addiction & recovery, substance abuse counseling, medications for addiction, group therapy, individual counseling, navigating the system",,12:00 PM - 14:00 PM,12:00 PM - 14:00 PM,12:00 PM - 14:00 PM,12:00 PM - 14:00 PM,Closed,Closed,Closed
"Behavioral Health (Mission City Community Network, Inc (MCCN))",Mental Health,2665 West Olympic Boulevard,Los Angeles,CA,90006,34.0526349,-118.2905049,818-895-3100,Open,,"mental health care, navigating the system",11:00 AM - 20:00 PM,03:00 AM - 03:00 AM,11:00 AM - 20:00 PM,Closed,11:00 AM - 20:00 PM,Closed,Closed
Gateways Adult Inpatient Program (Gateways Hospital and Mental Health Center),Mental Health,1891 Effie St,Los Angeles,CA,90026,34.0849411,-118.2567073,323-644-2000,Open,,"mental health care, counseling, mental health evaluation, psychiatric emergency services, understand mental health",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Gateway Homeless Services (Gateways Hospital and Mental Health Center),Mental Health,320 North Madison Avenue,Los Angeles,CA,90004,34.0770131,-118.288958,323-644-2026,Open,"short-term housing, counseling, individual counseling, navigating the system",,11:00 AM - 19:00 PM,11:00 AM - 19:00 PM,11:00 AM - 19:00 PM,11:00 AM - 19:00 PM,11:00 AM - 19:00 PM,Closed,Closed
AIDS Substance Misuse Prevention Initiative through Resource Engagement (ASPIRE) (Asian Pacific AIDS Intervention Team (APAIT)),Mental Health,3055 Wilshire Boulevard,Los Angeles,CA,90010,34.0620291,-118.2880824,,Open,"help find housing, mental health care, substance abuse counseling, sexual and reproductive health, std/sti treatment & prevention, hiv treatment, navigating the system",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Mental Health Services (St. Anthony Medical Centers (SAMC)),Mental Health,2515 W Pico Blvd,Los Angeles,CA,90006,34.0474885,-118.2922381,323-469-5555,Open,"psychiatric emergency services, specialized therapy, mental health care, outpatient treatment",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Behavioral Health Services (Homeless Outreach Program Integrated Care System (HOPICS)),Mental Health,5849 Crocker St,Los Angeles,CA,90003,33.9882561,-118.2686678,,Temporarily closed,"temporary shelter, help find housing, substance abuse counseling, counseling, mental health care",,Closed,Closed,Closed,Closed,Closed,Closed,Closed
Family Planning Services (FPA Women’s Health),Mental Health,601 South Westmoreland Avenue,Los Angeles,CA,90005,34.0634556,-118.2887935,877-883-7264,Open,,"family planning, medical care, checkup & test, disease screening, pregnancy tests, mental health care, sexual and reproductive health, birth control, std/sti treatment & prevention, virtual support",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,11:00 AM - 20:00 PM
Mariposa Recovery Home (Social Model Recovery Systems),Mental Health,453 South Indiana Street,Los Angeles,CA,90063,34.0307217,-118.1926195,323-266-7726,Open,,"counseling, anger management, individual counseling",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Specialized Treatment for Optimized Programming (STOP) - Area 5 (Amity Foundation),Mental Health,3801 South Broadway,Los Angeles,CA,90037,34.0138529,-118.2774662,213-222-1611,Open,"addiction & recovery, outpatient treatment, residential treatment, sober living, substance abuse counseling",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
"Youth Services (Helping Kids To Recover, Inc.)",Mental Health,,Los Angeles,CA,,,,310-867-4166,Open,"health education, daily life skills, prevent & treat, mental health care, anger management, substance abuse counseling, sexual and reproductive health, navigating the system, case management, skills & training, resume development, help find work",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
"Medications for Addiction Treatment (MAT Services) (Tarzana Treatment Centers, Inc. (TTC))",Mental Health,12021 Wilmington Avenue,Los Angeles,CA,90059,33.9241421,-118.2396155,888-777-8565,Open,,"addiction & recovery, outpatient treatment, substance abuse counseling, mental health care",8:30 AM - 17:00 PM,8:30 AM - 17:00 PM,8:30 AM - 17:00 PM,8:30 AM - 17:00 PM,8:30 AM - 17:00 PM,Closed,Closed
Children Mental Health Services (Drew Cdc - Mental Health And Alternative Payment),Mental Health,"3737 Martin Luther King Junior Boulevard, Lynwood",Los Angeles,CA,90262,33.9288026,-118.2002791,323-249-2950,Open,,"parenting education, group therapy, family counseling, individual counseling, medications for mental health, mental health evaluation, outpatient treatment, understand mental health, case management",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Counseling / Wellness (Project Impact USA),Mental Health,"2640 Industry Way, Lynwood",Los Angeles,CA,90262,33.9233529,-118.2251607,888-431-2882,Open,"counseling, group therapy",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Counseling and Resource Services (CARS) (Centinela Youth Services),Mental Health,"11539 Hawthorne Blvd, Hawthorne",Los Angeles,CA,90250,33.9294387,-118.3532919,310-970-7702,Not specified,,"addiction & recovery, counseling, mental health care, substance abuse counseling",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Behavior Health Services (All Families Matter Counseling),Mental Health,,Los Angeles,CA,,,,213-926-1100,Open,,"mental health care, counseling, substance abuse counseling, family counseling, individual counseling, outpatient treatment",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Support Groups (Return to Zero: HOPE),Mental Health,,Los Angeles,CA,,,,,Open,,"bereavement, peer support, virtual support",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Men's Residential Addiction Treatment (Clare/Matrix),Mental Health,"1865 9th Street, Santa Monica",Los Angeles,CA,90405,34.0133809,-118.4820482,866-452-5273,Open,,"addiction & recovery, residential treatment",11:00 AM - 21:00 PM,11:00 AM - 21:00 PM,11:00 AM - 21:00 PM,11:00 AM - 21:00 PM,11:00 AM - 21:00 PM,12:00 PM - 21:00 PM,Closed
Support For Families (My Good),Mental Health,,Los Angeles,CA,,,,,Open,"bereavement, financial assistance, navigating the system, virtual support, advocacy & legal aid, help pay for healthcare, burial & funeral help, help find healthcare, mental health care",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Online Support Groups (HFC),Mental Health,,Los Angeles,CA,,,,203-883-1380,Open,"bereavement, support groups",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Bereavement Support and Financial Assistance (The Luca John Foundation),Mental Health,,Los Angeles,CA,,,,866-613-2716,Open,"bereavement, burial & funeral help, financial assistance",,8:00 AM - 17:00 PM,8:00 AM - 17:00 PM,8:00 AM - 17:00 PM,8:00 AM - 17:00 PM,8:00 AM - 17:00 PM,Closed,Closed
Helping Honor Baby Angels (Cael's Angels Association),Mental Health,,Los Angeles,CA,,,,763-785-4173,Open,"bereavement, burial & funeral help, support network, financial assistance",,10:00 AM - 18:00 PM,10:00 AM - 18:00 PM,10:00 AM - 18:00 PM,10:00 AM - 18:00 PM,10:00 AM - 18:00 PM,Closed,Closed
Stanford Children's Health Teen Van (Stanford Children's Health),Mental Health,,Los Angeles,CA,,,,650-736-7172,Open,"substance abuse counseling, medical care, primary care, checkup & test, pregnancy tests, prevent & treat, vaccinations, mental health care, mental health evaluation, sexual and reproductive health, womens health, std/sti treatment & prevention",,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM
Victims and Survivors Services (Crime Victims Assistance Network (iCAN) Foundation),Mental Health,,Los Angeles,CA,,,,916-273-3603,Open,"counseling, navigating the system, support network, one-on-one support, advocacy & legal aid",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Disaster Distress Helpline (Substance Abuse and Mental Health Services Administration (SAMHSA)),Mental Health,,Los Angeles,CA,,,,800-985-5990,Open,"disaster response, counseling, mental health care, navigating the system, help hotlines, translation & interpretation",,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM
Amala Hopeline (Muslim American Society (MAS) - Social Services Foundation (SSF)),Mental Health,,Los Angeles,CA,,,,855-952-6252,Open,"counseling, help hotlines, peer support",,21:00 PM - 11:59 PM,Closed,21:00 PM - 11:59 PM,Closed,21:00 PM - 11:59 PM,21:00 PM - 11:59 PM,21:00 PM - 11:59 PM
HOPE Mentor (MISS Foundation),Mental Health,,Los Angeles,CA,,,,,Open,"bereavement, one-on-one support, peer support, virtual support",,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,Closed,Closed
American Indian Changing Spirits - Transitional Housing (Century Villages at Cabrillo (CVC)),Mental Health,"2001 River Ave, Long Beach",Los Angeles,CA,90810,33.7922259,-118.2222953,562-388-8118,Open,,"addiction & recovery, residential treatment, sober living, daily life skills",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Outpatient Mental Health Services (Long Beach Child and Adolescent Clinic),Mental Health,"240 East 20th Street, Long Beach",Los Angeles,CA,90806,33.7934677,-118.1902965,562-599-9271,Open,,"outpatient treatment, mental health care, counseling, family counseling, individual counseling, medications for mental health, mental health evaluation",11:00 AM - 21:00 PM,11:00 AM - 21:00 PM,11:00 AM - 21:00 PM,11:00 AM - 21:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Outpatient Behavioral Health Program (El Proyecto Del Barrio),Mental Health,9140 Van Nuys Boulevard,Los Angeles,CA,91402,34.2366658,-118.4497211,818-895-2206,Open,,"transportation, addiction & recovery, substance abuse counseling, health education, parenting education, mental health care, group therapy, individual counseling, mental health evaluation, childcare, navigating the system, case management, support network, peer support",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,12:00 PM - 20:00 PM,Closed
Mental Health Counseling (The San Fernando Valley Counseling Center (SFVCC)),Mental Health,7247 Hayvenhurst Avenue,Los Angeles,CA,91406,34.2025495,-118.4936256,818-341-1111,Open,,"mental health care, counseling, family counseling, individual counseling",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Counseling Services (Families and Communities Together (FaCT)),Mental Health,"501 South Idaho Street, La Habra",Los Angeles,CA,90631,33.9277881,-117.9597721,714-447-3460,Open,"counseling, group therapy, family counseling, individual counseling",,11:30 AM - 20:30 PM,11:30 AM - 23:00 PM,11:30 AM - 20:30 PM,11:30 AM - 23:00 PM,11:30 AM - 20:30 PM,Closed,Closed
Medication Assisted Treatment (MAT) (Western Health Community Clinic),Mental Health,1647 West Anaheim Street,Los Angeles,CA,90710,33.7863436,-118.3058744,310534-5590,Open,,"addiction & recovery, outpatient treatment, medications for addiction",8:30 AM - 14:30 PM,8:30 AM - 14:30 PM,8:30 AM - 14:30 PM,8:30 AM - 14:30 PM,8:30 AM - 14:30 PM,8:30 AM - 14:30 PM,8:30 AM - 14:30 PM
Creative Health & Wellness Clinic (CHWC) (Able ARTS Work),Mental Health,"3626 California 1, Long Beach",Los Angeles,CA,90804,33.7896123,-118.1491451,562-982-0247,Open,,outpatient treatment,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Counseling Services (West Valley Counseling Center (WVCC)),Mental Health,18226 Ventura Boulevard,Los Angeles,CA,91356,34.1660957,-118.5300663,818-758-9450,Open,,"counseling, mental health care, group therapy, family counseling, individual counseling, outpatient treatment",11:00 AM - 00:00 AM,11:00 AM - 00:00 AM,11:00 AM - 00:00 AM,11:00 AM - 00:00 AM,11:00 AM - 00:00 AM,11:00 AM - 00:00 AM,11:00 AM - 00:00 AM
Fuerza Inc. (Fuerza Inc),Mental Health,"1340 Mcwood Street, West Covina",Los Angeles,CA,91790,34.0515177,-117.9173711,323-726-2418,Open,"health education, counseling, navigating the system, support network, one-on-one support, spiritual support, skills & training",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
"Recovery, Resilience and Reintegration Services (RRR) (Hillview Mental Health Center)",Mental Health,12450 Van Nuys Boulevard,Los Angeles,CA,91331,34.2786682,-118.4040331,818-896-1161,Open,,"help find housing, addiction & recovery, detox, mental health care, community support services, one-on-one support",12:00 PM - 20:30 PM,12:00 PM - 20:30 PM,12:00 PM - 20:30 PM,12:00 PM - 20:30 PM,12:00 PM - 20:30 PM,Closed,Closed
Boys Town National Hotline (Boys Town),Mental Health,,Los Angeles,CA,,,,800-448-3000,Open,"counseling, help hotlines, one-on-one support, virtual support, translation & interpretation",,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM
Child Abuse Prevention and Treatment (The Children's Center of the Antelope Valley),Mental Health,"45111 Fern Avenue, Lancaster",Los Angeles,CA,93534,34.7014968,-118.1454696,661-949-1206,Open,"family counseling, support network, counseling, support groups, more education",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Recovery Options (Covenant Hills),Mental Health,,Los Angeles,CA,,,,844-277-9386,Open,"counseling, navigating the system, help hotlines, one-on-one support",,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM
SAMHSA's National Helpline (Substance Abuse and Mental Health Services Administration (SAMHSA)),Mental Health,,Los Angeles,CA,,,,800-662-4357,Open,"understand mental health, help find healthcare, navigating the system, help hotlines",,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM
Online Grief Support (The Compassionate Friends),Mental Health,,Los Angeles,CA,,,,,Open,"bereavement, support groups, virtual support",,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,Closed,Closed
California Youth Crisis Line (CYCL) (California Coalition for Youth),Mental Health,,Los Angeles,CA,,,,800-843-5200,Open,"psychiatric emergency services, counseling, navigating the system, help hotlines, virtual support, translation & interpretation",,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM
Vet Centers - California (U.S. Department of Veterans Affairs),Mental Health,"5400 E Olympic Blvd, Commerce",Los Angeles,CA,90022,34.0151394,-118.1556856,877-927-8387,Open,"addiction & recovery, disease screening, counseling, family counseling, individual counseling, government benefits, understand government programs, navigating the system, support network, help find work, skills assessment",,10:00 AM - 23:30 PM,10:00 AM - 00:30 AM,10:00 AM - 01:00 AM,10:00 AM - 01:00 AM,10:00 AM - 01:00 AM,11:00 AM - 19:30 PM,Closed
Sexual Assault Crisis Line and Support (YWCA Greater Los Angeles),Mental Health,2501 West Vernon Avenue,Los Angeles,CA,90008,34.0039449,-118.3205093,877-943-5778,Open,"group therapy, individual counseling, navigating the system, help hotlines, one-on-one support",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
HIV/AIDs Care (AltaMed Health Services),Mental Health,"5427 Whittier Blvd., East Los Angeles",Los Angeles,CA,90022,34.0198609,-118.1531488,888-499-9303,Open,,"medical care, prevent & treat, counseling, hiv treatment, sexual and reproductive health, std/sti treatment & prevention",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Child and Adolescent Outpatient Program (Gateways Hospital and Mental Health Center),Mental Health,1891 Effie Street,Los Angeles,CA,90026,34.0852968,-118.256591,323-644-2000,Not specified,,"outpatient treatment, substance abuse counseling, mental health care, group therapy, family counseling, individual counseling, navigating the system, case management",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Medication Assisted Treatment (MAT) (Pinnacle Treatment Centers - California),Mental Health,"614 West Manchester Boulevard, Inglewood",Los Angeles,CA,90301,33.9613775,-118.367333,800-782-1520,Open,,"addiction & recovery, outpatient treatment, medications for addiction",8:00 AM - 16:30 PM,8:00 AM - 16:30 PM,8:00 AM - 16:30 PM,8:00 AM - 16:30 PM,8:00 AM - 16:30 PM,Closed,Closed
Vocational Training (L.A. GOAL),Mental Health,"4911 Overland Avenue, Culver City",Los Angeles,CA,90230,34.0079809,-118.3976137,310-838-5274,Open,,"daily life skills, counseling, specialized therapy, help fill out forms, help hotlines, more education, skills & training, computer class, interview training, help find work",11:30 AM - 16:30 PM,11:30 AM - 16:30 PM,11:30 AM - 16:30 PM,11:30 AM - 16:30 PM,11:30 AM - 16:30 PM,Closed,Closed
Primary Care Services (Achievable Foundation),Mental Health,"5901 Green Valley Circle, Culver City",Los Angeles,CA,90230,33.984437,-118.392257,424-266-7474,Open,,"family planning, medical care, primary care, prevent & treat, vaccinations, mental health care, mental health evaluation, understand government programs, navigating the system, help fill out forms, translation & interpretation",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Play Therapy (Therapeutic Play Foundation),Mental Health,"236 West Mountain Street, Pasadena",Los Angeles,CA,91103,34.1615061,-118.1575553,323-924-9084,Open,,"specialized therapy, mental health care",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Prenatal Care (Arroyo Vista Family Health Center),Mental Health,6000 North Figueroa Street,Los Angeles,CA,90042,34.1113077,-118.1886489,323-254-5221,Open,,"health education, family planning, checkup & test, pregnancy tests, maternity care, counseling, navigating the system",11:00 AM - 22:00 PM,11:00 AM - 22:00 PM,11:00 AM - 22:00 PM,11:00 AM - 22:00 PM,11:00 AM - 22:00 PM,11:00 AM - 20:00 PM,Closed
"Mental Health Treatment (Behavioral Health Services, Inc. (BHS))",Mental Health,4099 N Mission Rd,Los Angeles,CA,90032,34.076491,-118.19514,323-221-1746,Open,"disease management, medication management, mental health care, group therapy, individual counseling, medications for mental health, mental health evaluation, outpatient treatment, residential treatment",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Counseling and Case Management (Center for the Pacific Asian Family (CPAF)),Mental Health,3424 Wilshire Boulevard,Los Angeles,CA,90010,34.0612473,-118.2986006,800-339-3940,Open,"counseling, group therapy, individual counseling, navigating the system, help fill out forms, one-on-one support, health education, advocacy & legal aid, citizenship & immigration",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Early Intervention Outpatient Treatment (Wellnest),Mental Health,3787 South Vermont Avenue,Los Angeles,CA,90007,34.0171371,-118.2918992,323-766-2345,Open,,"outpatient treatment, parenting education, counseling, family counseling, individual counseling, navigating the system, case management",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Our Programs (Counseling4Kids),Mental Health,"225 West Broadway, Glendale",Los Angeles,CA,91204,34.147006,-118.2567737,,Open,"mental health care, counseling, outpatient treatment, understand mental health, mental health care, family counseling, individual counseling, medications for mental health, mental health evaluation",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Individual Counseling (Counseling Partners of Los Angeles (CPLA)),Mental Health,2016 West Washington Boulevard,Los Angeles,CA,90018,34.039715,-118.3038265,310-459-2752,Open,,"counseling, mental health care, individual counseling",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Emergency Department (East Los Angeles Doctors Hospital),Mental Health,4060 Whittier Boulevard,Los Angeles,CA,90023,34.0237682,-118.1841496,,Open,,"outpatient treatment, medical care, checkup & test, disease screening, prevent & treat",0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM
JFS Hope - Assistance for Domestic Violence Survivors (Jewish Family Service of Los Angeles (JFSLA)),Mental Health,,Los Angeles,CA,,,,818-505-0900,Open,"temporary shelter, immediate safety, short-term housing, navigating the system, case management, support network, counseling, help hotlines, support groups, virtual support, more education, advocacy & legal aid",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Mental Health Services (Jewish Family Service of Los Angeles (JFSLA)),Mental Health,,Los Angeles,CA,,,,877-275-4537,Open,"parenting education, counseling, navigating the system, one-on-one support, spiritual support, support groups, health education, skills & training",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Survivors of the Holocaust Program/Caf Europa (Jewish Family Service of Los Angeles (JFSLA)),Mental Health,330 North Fairfax Avenue,Los Angeles,CA,90036,34.0770549,-118.3611496,877-275-4537,Open,"counseling, financial assistance, recreation, navigating the system, help fill out forms, support network, virtual support",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
13 Reasons Why I Can Love Myself (Casa de la Familia (CDLF)),Mental Health,3550 Wilshire Boulevard,Los Angeles,CA,90010,34.0610984,-118.3022677,877-611-2272,Open,"health education, mental health care, navigating the system, support network, virtual support",,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,Closed,Closed
The Way In (Salvation Army - California South),Mental Health,5939 Hollywood Boulevard,Los Angeles,CA,90028,34.101975,-118.3191061,323-469-2946,Open,"temporary shelter, meals, residential housing, daily life skills, medical care, counseling, navigating the system, support network, one-on-one support, skills assessment, job placement, advocacy & legal aid",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Integrated Care Program (Exodus Recovery),Mental Health,1920 Marengo Street,Los Angeles,CA,90033,34.0573271,-118.2096695,323-276-6450,Open,,"substance abuse counseling, disease management, prescription assistance, primary care, checkup & test, group therapy, individual counseling, mental health evaluation, navigating the system, one-on-one support",11:00 AM - 19:00 PM,11:00 AM - 19:00 PM,11:00 AM - 19:00 PM,11:00 AM - 19:00 PM,11:00 AM - 19:00 PM,Closed,Closed
Substance Use Disorder (SUD) Outpatient Program (Exodus Recovery),Mental Health,1920 Marengo Street,Los Angeles,CA,90033,34.0573271,-118.2096695,323-276-6465,Open,,"addiction & recovery, 12-step, substance abuse counseling, health education, group therapy, individual counseling, skills & training",13:30 PM - 22:00 PM,13:30 PM - 22:00 PM,13:30 PM - 22:00 PM,13:30 PM - 22:00 PM,13:30 PM - 22:00 PM,Closed,Closed
Urgent Care Center (Exodus Recovery),Mental Health,1920 Marengo Street,Los Angeles,CA,90033,34.0573271,-118.2096695,323-276-6400,Open,,"psychiatric emergency services, mental health care, medications for mental health, mental health evaluation, navigating the system, one-on-one support",0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM
A Clinic for Us (Black Aids Institute (BAI)),Mental Health,1833 West 8th Street,Los Angeles,CA,90057,34.0538887,-118.2751824,213-224-7488,Open,"help pay for healthcare, prescription assistance, checkup & test, prevent & treat, counseling, hiv treatment, std/sti treatment & prevention, navigating the system",,Closed,12:00 PM - 21:00 PM,Closed,12:00 PM - 21:00 PM,12:00 PM - 21:00 PM,12:00 PM - 21:00 PM,Closed
Family Services - Family Preservation Program (Helpline Youth Counseling (HYC)),Mental Health,4055 East Olympic Boulevard,Los Angeles,CA,90023,34.0191842,-118.1875961,213-226-0969,Not specified,,"counseling, in-home support, family counseling, one-on-one support",11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
