Organization,,Category,Street Address,City,State,Zip Code,Latitude,Longitude,Phone Number,Status,Free Services,Paid Services,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Lillian Marrero Library,1,Library,601 West Lehigh Avenue,Philadelphia,PA,19133,39.9927699,-75.1424683,(215) 685-9794,Open,"Public Computers, Wi-Fi, Homework Help, ESL & Spanish Literacy Classes.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
Logan Library,1,Library,1333 Wagner Avenue,Philadelphia,PA,19141,40.0317991,-75.1453189,(215) 685-9156,Open,"Public Computers, Wi-Fi, Story Time, Homework Help, Job Assistance, Music/Coding Classes.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Lovett Memorial Library,1,Library,6945 Germantown Avenue,Philadelphia,PA,19119,40.0568218,-75.1876258,(215) 685-2095,Open,"Public Computers, Wi-Fi, Dedicated Childrens Library.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Lucien E. Blackwell West Philadelphia Regional Library,1,Library,125 South 52nd Street,Philadelphia,PA,19139,39.9574045,-75.2250673,(215) 685-7424,Open,"Public Computers, Wi-Fi, Large Collection, Gaming Events.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
McPherson Square Library,1,Library,601 East Indiana Avenue,Philadelphia,PA,19134,39.9948464,-75.1188422,(215) 685-9995,Temporarily Closed,"Public Computers, Wi-Fi.","Printing, Copying",Closed,Closed,Closed,Closed,Closed,Closed,Closed
Medication-Assisted Treatment (NorthEast Treatment Centers - OTP),1,Mental Health,2205 Bridge St,Philadelphia,PA,19137,40.010577,-75.0692255,215-831-6024,Open,,"Addiction and Recovery, Detox, Substance Abuse Counseling, Medications for Addiction, Counseling, Medication Management, Outpatient, Treatment, Group Therapy, Individual Counseling",8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed,Closed
Mens Shelter (Philly House),1,Temporary Shelter,302 North 13th Street,Philadelphia,PA,19133,39.9581738,-75.1604011,215-922-6400,Open,"Temporary Shelter, Meals, Personal Hygiene",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
Mens Shelter (The Veterans Group),1,Temporary Shelter,3209 Baring St,Philadelphia,PA,19104,39.9619141,-75.1890686,215-222-4379,Open,"Temporary Shelter, Meals Counseling, Government Benefits, Help Find Work, More Education, Skills & Training, Computer Class, Resume Development",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
Mental Health and Substance Abuse Program (Pathways to Housing PA),1,Mental Health,5201 Old York Rd,Philadelphia,PA,19141,40.0325212,-75.1449636,215-599-2150,Open,"Substance Abuse Counseling, Mental Health Care, Family Counseling, Help Hotlines, Support Groups, Outpatient, Treatment, Group Therapy, Individual Counseling",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed,Closed
Mental Health Assistance (Overington House Inc),1,Mental Health,4716 Leiper Street,Philadelphia,PA,19124,40.0186938,-75.0858672,215-613-7121,Open,,"Short-Term Housing, Sober Living, Addiction & Recovery, Substance Abuse Counseling, Mental Health Care, Outpatient, Treatment, Group Therapy, Individual Counseling",9:00 AM - 4:30 PM,9:00 AM - 4:30 PM,9:00 AM - 4:30 PM,9:00 AM - 4:30 PM,Closed,Closed,Closed
Mental Health Services (Best Behavioral Healthcare),1,Mental Health,5043 Frankford Avenue,Philadelphia,PA,19114,40.0212549,-75.0793885,215-744-4343,Open,,"Substance Abuse Counseling, Mental Health Care, Anger Management, Counseling, Group Therapy, Family Counseling, Individual Counseling, Outpatient, Treatment",8:30 AM - 9:00 PM,8:30 AM - 9:00 PM,8:30 AM - 9:00 PM,8:30 AM - 9:00 PM,9:00 AM - 5:00 PM,Closed,Closed
Navigation Center (Horizon House),1,Temporary Shelter,5901 Market Street,Philadelphia,PA,19139,39.9620586,-75.239132,215-386-3838 ,Open,"Temporary Shelter, Clothing, Personal Hygiene, Navigating the System, Meals",,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Closed,Closed
New Pathways for Women Project (Public Health Management Corporation),1,Mental Health,"1500 Market Street, Suite 1500",Philadelphia,PA,19139,39.9523167,-75.1664857,215-985-2526,Open,,"Addiction and Recovery, Medical Care, Checkup & Test, Disease Screening, Counseling, Group Therapy, Substance Abuse Counseling, Support Network, One-On-One Support, Peer Support, Outpatient, Treatment, Individual Counseling",8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed,Closed
Nicetown-Tioga Library,1,Library,3720 North Broad Street,Philadelphia,PA,19140,40.0099672,-75.1513076,(215) 685-9790,Open,"Public Computers, Wi-Fi, Meeting Spaces, Adult Basic Literacy, STEM classes.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Northeast Regional Library,1,Library,2228 Cottman Avenue,Philadelphia,PA,19149,40.048591,-75.061567,(215) 685-0500,Limited,"Public Computers, Wi-Fi, Large Collection, Homework Help, ESL Classes, Job Search Assistance.","Printing, Copying",Closed,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Oak Lane Library,1,Library,6614 North 12th Street,Philadelphia,PA,19126,40.0545928,-75.1378373,(215) 685-2848,Limited,"Public Computers, Wi-Fi.","Printing, Copying",10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Opioid Treatment Program (Achievement Through Counseling and Treatment),1,Mental Health,5820 Old York Rd.,Philadelphia,PA,19141,40.0420136,-75.1446874,215-276-8400,Open,,"Detox, Counseling, Substance Abuse Counseling, Outpatient, Treatment, Group Therapy, Individual Counseling",8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed,Closed
Opioid Treatment Program (Northeast Treatement Centers Inc),1,Mental Health,7520 State Road,Philadelphia,PA,19114,40.0297839,-75.0269339,973-777-2962,Open,,"Detox, Counseling, Substance Abuse Counseling, Outpatient, Treatment, Group Therapy, Individual Counseling",8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed,Closed
Our Closet in Your Neighborhood (Jewish Family and Childrens Service of Greater Philadelphia),1,Food Bank,601 East Indiana Avenue,Philadelphia,PA,19134,39.9948061,-75.1189178,267-256-2179,Open,"Emergency Food, Food Pantry, Help Find Housing, Housing Advice, Clothing, Navigating the System",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
Outley House (SELF Inc),1,Temporary Shelter,1211 Chestnut Street,Philadelphia,PA,19107,39.9506585,-75.1606944,215-496-9610,Open,"Temporary Shelter, Help Find Housing, Navigating the System, Case Management, Skills & Training, Daily Life Skills, Help Find Healthcare, Navigating the System, Help Find School",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
Outpatient Drug and Alcohol Treatment (Womens Institute for Family Health),1,Mental Health,5936 Chestnut Street,Philadelphia,PA,19139,39.9601419,-75.2405308,215-747-2391,Open,,"Addiction and Recovery, Outpatient Treatment, Substance Abuse Counseling, Medications for Addiction, Medication Management, Mental Health Care, Group Therapy, Family Counseling, Individual Counseling, Mental Health Evaluation, Peer Support, Outpatient, Treatment",8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed,Closed
Outpatient Subsance Abuse Program (Wedge Recovery Center),1,Mental Health,1939 South Juniper Street,Philadelphia,PA,19148,39.9256728,-75.1678138,215-276-3922,Open,,"Addiction and Recovery, Medications for Addiction, Medication Management, Group Therapy, Substance Abuse Counseling, Individual Counseling, Case Management, Outpatient, Treatment",8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,9:00 AM - 5:00 PM  EDT,Closed,Closed
Outpatient Treatment Program (Greater Philadelphia Asian Social Service Center (GPASS)),1,Mental Health,4943 North 5th Street,Philadelphia,PA,19120,40.0269311,-75.1323547,215-456-1662,Open,,"Outpatient, Treatment, Substance Abuse Counseling, Group Therapy, Individual Counseling",9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,Closed,Closed,Closed
Overbrook Park Library,1,Library,7422 Haverford Avenue,Philadelphia,PA,19151,39.9760307,-75.2640364,(215) 685-0182,Limited,"Public Computers, Wi-Fi, Book Drop.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Packer Community Integrated Recovery Center (Citizens Acting Together Can Help Inc),1,Mental Health,700 Packer Avenue,Philadelphia,PA,19148,39.9089296,-75.1626553,215-551-3150,Open,,"Daily Life Skills, Medication Management, Mental Health Care, Group Therapy, Substance Abuse Counseling, Individual Counseling, Medications for Mental Health, Mental Health Evaluation, Outpatient, Treatment",8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed,Closed
PACTS Outpatient Evaluation and Treatment (COMHAR Inc),1,Mental Health,3147 Emerald Street,Philadelphia,PA,19134,39.9935988,-75.112315,267-861-4382,Open,,"Medication Management, Mental Health Care, Counseling, Substance Abuse Counseling, Family Counseling, Individual Counseling, Mental Health Evaluation, Outpatient Treatment, Psychiatric Emergency Services, Outpatient, Treatment, Group Therapy",9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Closed,Closed,Closed
Parkway Central Library,1,Library,1901 Vine Street,Philadelphia,PA,19103,39.9595913,-75.1710199,(215) 686-5322,Open,"Research Library, Special Collections, Tours, Author Events, Exhibitions, Study Rooms, Scanners, Wi-Fi.","Printing, Copying",9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Closed
Paschalville Library,1,Library,6942 Woodland Avenue,Philadelphia,PA,19142,39.9204927,-75.2409696,(215) 685-2662,Temporarily Closed,"Job Readiness Lab, One-on-one Assistance, Computer Access, Adult Education, ESL Services.","Printing, Copying",Closed,Closed,Closed,Closed,Closed,Closed,Closed
Philadelphia City Institute,1,Library,1905 Locust Street,Philadelphia,PA,19103,39.9494676,-75.1731053,(215) 685-6621,Open,"Public Computers, Wi-Fi.","Printing, Copying",10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
Prevention/Recovery Support Services (Gaudenzia),1,Mental Health,2721 North 5th Street,Philadelphia,PA,19133,39.99274,-75.1397961,833-976-4357,Open,,"Addiction and Recovery, Substance Abuse Counseling, Mental Health Care, Support Network, One-On-One Support, Peer Support, Support Groups, Outpatient, Treatment, Group Therapy, Individual Counseling",8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed,Open
Queen Memorial Library,1,Library,1201 South 23rd Street,Philadelphia,PA,19146,39.9378544,-75.1810611,(215) 685-1899,Open,"Public Computers, Wi-Fi.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
Ramonita de Rodriguez Library,1,Library,600 West Girard Avenue,Philadelphia,PA,19123,39.9701352,-75.1468658,(215) 686-1768,Open,"Public Computers, Wi-Fi, Toddler Story Time.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Recovery Services (Rogers Behavioral Health),1,Mental Health,1 Winding Drive,Philadelphia,PA,19127,40.006894,-75.2079837,800-767-4411,Open,,"Addiction and Recovery, Outpatient Treatment, Residential Treatment, Substance Abuse Counseling, Specialized Therapy, Mental Health Care, Mental Health Evaluation, Support Groups, Outpatient, Treatment, Group Therapy, Individual Counseling",8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed,Closed
Red Shield Family Residence (The Salvation Army-Greater Philadelphia),1,Temporary Shelter,715 North Broad Street,Philadelphia,PA,19123,39.9676669,-75.1598736,215-787-2887,Open,"Temporary Shelter, Case Management",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
Residential Inpatient Drug and Alcohol Treatment (Livengrin Foundation),1,Mental Health,1500 Walnut Street,Philadelphia,PA,19102,39.9489949,-75.1663033,800-245-4746,Open,"Addiction and Recovery, Residential Treatment, Substance Abuse Counseling, Mental Health Care, Outpatient, Treatment, Group Therapy, Individual Counseling",,00:00 AM - 11:59 PM,00:00 AM - 11:59 PM,00:00 AM - 11:59 PM,00:00 AM - 11:59 PM,00:00 AM - 11:59 PM,00:00 AM - 11:59 PM,Closed
"Residential Therapeutic Community (Men and Women for Human Excellence, Inc. (MWFHE))",1,Mental Health,2600 Cecil B. Moore Avenue,Philadelphia,PA,19121,39.9810206,-75.1774419,215-594-3581,Open,"Sober Living, Addiction & Recovery, Residential Treatment, Substance Abuse Counseling, Peer Support, Outpatient, Treatment, Group Therapy, Individual Counseling",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed,Closed
RHD Fernwood Program (Resources for Human Development-Pennsylvania),1,Temporary Shelter,7979 State Rd.,Philadelphia,PA,19130,40.0311411,-75.0217744,215-685-8333,Open,"Temporary Shelter, Navigating the System",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
Richmond Library,1,Library,2987 Almond Street,Philadelphia,PA,19134,39.9828351,-75.1083646,(215) 685-9992,Open,"Public Computers, Meeting Spaces, Public Restrooms.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
Roxborough Library,1,Library,6245 Ridge Avenue,Philadelphia,PA,19128,40.0367315,-75.2182042,(215) 685-2550,Temporarily Closed,"Public Computers, Wi-Fi.","Printing, Copying",Closed,Closed,Closed,Closed,Closed,Closed,Closed
Saint Helena Parish Food Cupboard (Saint Helena),1,Food Bank,6161 North 5th Street,Philadelphia,PA,19120,40.0453383,-75.128017,267-900-5935,Open,"Emergency Food, Food Pantry",,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Closed,Closed
Second Helping Emergency Food Cupboard (Bebashi),1,Food Bank,1235 Spring Garden Street,Philadelphia,PA,19108,39.962199,-75.1586904,215-769-3561,Open,"Emergency Food, Food Pantry",,11:00 AM - 4:00 PM,11:00 AM - 4:00 PM,11:00 AM - 4:00 PM,11:00 AM - 4:00 PM,11:00 AM - 4:00 PM,Closed,Closed
Social Services -Basic Needs Assistance (Helping Hands Ministry Inc),1,Food Bank,5926 Webster Street,Philadelphia,PA,19143,39.9498348,-75.2421164,267-595-9000,Open,"Emergency Food, Home Goods, Personal Care Items, Toys & Gifts",,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,Closed,Closed
South Philadelphia Library,1,Library,1700 South Broad Street,Philadelphia,PA,19145,39.9289789,-75.1693022,(215) 685-1866,Open,"Public Computers, Wi-Fi, English Conversation Circle, Citizenship Class, Homework Help.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
Station House Transitional Shelter (SELF Inc),1,Temporary Shelter,1425 Arch Street,Philadelphia,PA,19102,39.9550365,-75.1641601,215-225-9230,Open,Temporary Shelter,,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
Substance Use Disorder Program (US Department of Veterans Affairs - Veterans Health Administration),1,Mental Health,3900 Woodland Avenue,Philadelphia,PA,19104,39.9479816,-75.2001349,800-273-8255,Open,,"Addiction and Recovery, Outpatient Treatment, Residential Treatment, Substance Abuse Counseling, Medications for Addiction, Understand Mental Health, Counseling, Mental Health Care, Group Therapy, Family Counseling, Individual Counseling, Medications for Mental Health, Mental Health Evaluation, Government Benefits, Outpatient, Treatment",00:00 AM - 11:59 PM,00:00 AM - 11:59 PM,00:00 AM - 11:59 PM,00:00 AM - 11:59 PM,00:00 AM - 11:59 PM,00:00 AM - 11:59 PM,Closed
Substance Use Disorder Treatment (Merakey - Pennsylvania),1,Mental Health,5000 Parkside Avenue,Philadelphia,PA,19131,39.9796591,-75.2197374,866-647-0007,Open,,"Addiction and Recovery, Substance Abuse Counseling, Mental Health Care, Counseling, Outpatient, Treatment, Group Therapy, Individual Counseling",8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed,Closed
Substance Use Treatment (Asociacion Puertorriquenos en Marcha),1,Mental Health,4301 Rising Sun Avenue,Philadelphia,PA,19140,40.0158615,-75.1290898,267-296-7220,Open,,"Addiction and Recovery, Outpatient Treatment, Substance Abuse Counseling, Medications for Addiction, Group Therapy, Individual Counseling, Outpatient, Treatment",7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,Closed,Closed,Closed
Tacony Library,1,Library,6742 Torresdale Avenue,Philadelphia,PA,19135,40.0254043,-75.0452383,(215) 685-8755,Open,"Public Computers, Wi-Fi.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Teach Recovery Education Empowerment IOP (Philadelphia FIGHT Community Health Centers),1,Mental Health,1233 Locust Street 3rd floor,Philadelphia,PA,19107,39.9479892,-75.1619304,215-525-8657,Open,"Addiction and Recovery, Residential Treatment, Substance Abuse, Counseling Counseling, Outpatient, Treatment, Substance Abuse Counseling, Group Therapy, Individual Counseling",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed,Closed
The Bridge (Public Health Management Corporation),1,Mental Health,1100 Adams Avenue,Philadelphia,PA,19124,40.0169967,-75.0946038,215-342-5000,Open,"Long-Term Housing, Short-Term Housing, Sober Living, Addiction & Recovery, Outpatient Treatment, Substance Abuse Counseling, Daily Life Skills, Individual Counseling, Support Network, One-On-One Support, Outpatient, Treatment, Group Therapy",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed,Closed
The Recovery and Education Center (Wedge Recovery Center),1,Mental Health,3604 Germantown Avenue,Philadelphia,PA,19140,40.007689,-75.1504637,215-276-3922,Open,,"Addiction and Recovery, Outpatient Treatment, Substance Abuse Counseling, Medication Management, Mental Health Care, Group Therapy, Individual Counseling, Understand Mental Health, Community Support Services, Peer Support, Spiritual Support, Support Groups, Outpatient, Treatment",8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed,Closed
The Rosenbach,1,Library,2008-2010 Delancey Place,Philadelphia,PA,19103,39.9475365,-75.1754569,(215) 732-1600,Open,"Museum and research library offering tours, exhibitions, and reading courses.",Admission fees may apply.,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Therapy for Personal and Relationship Issues (Courdea),1,Mental Health,Online,Philadelphia,PA,19143,39.9412882,-75.2187346,215-242-2235,Open,,"Substance Abuse Counseling, Specialized Therapy, Counseling, Family Counseling, Individual Counseling, Outpatient, Treatment, Group Therapy",8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed,Closed
"Thomas F. Donatucci, Sr. Library",1,Library,1935 West Shunk Street,Philadelphia,PA,19145,39.919645,-75.1801664,(215) 685-1755,Limited,"Public Computers, Wi-Fi, Book Drop.","Printing, Copying",Closed,Closed,10:00 AM - 5:00 PM,Closed,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Torresdale Library,1,Library,3079 Holme Avenue,Philadelphia,PA,19136,40.0563364,-75.024739,(215) 685-0494,Temporarily Closed,"Public Computers, Wi-Fi.","Printing, Copying",Closed,Closed,Closed,Closed,Closed,Closed,Closed
Various Community Events and Programs (Conquerors Community Development Corporation),1,Temporary Shelter,5220 Whitby Avenue,Philadelphia,PA,19143,39.9463281,-75.2273043,215-474-2717,Open,"Community Support Services, Weather Relief, Exercise & Fitness, Recreation, Computer or Internet Access",,9:00 AM - 5:00 PM ,9:00 AM - 5:00 PM ,9:00 AM - 5:00 PM ,9:00 AM - 5:00 PM ,9:00 AM - 5:00 PM ,Closed,Closed
Wadsworth Library,1,Library,1500 Wadsworth Avenue,Philadelphia,PA,19150,40.0789597,-75.173719,(215) 685-9293,Limited,"Public Computers, Wi-Fi, Social Services Support.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Walnut Street West,1,Library,201 South 40th Street,Philadelphia,PA,19104,39.9537904,-75.2024677,(215) 685-7671,Closed,"Public Computers, Wi-Fi, Foreign Film/Language Collections, ESL Groups, Story Times.",Printing,Closed,Closed,Closed,Closed,Closed,Closed,Closed
Welsh Road Library,1,Library,9233 Roosevelt Boulevard,Philadelphia,PA,19114,40.0741106,-75.0321484,(215) 685-0498,Closed,"Public Computers, Wi-Fi.","Printing, Copying",Closed,Closed,Closed,Closed,Closed,Closed,Closed
Whitman Library,1,Library,200 Snyder Avenue,Philadelphia,PA,19148,39.9216424,-75.15037,(215) 685-1754,Temporarily Closed,"Public Computers, Wi-Fi.","Printing, Copying",Closed,Closed,Closed,Closed,Closed,Closed,Closed
Widener Library,1,Library,2808 West Lehigh Avenue,Philadelphia,PA,19132,39.9966967,-75.1775953,(215) 685-9799,Open,"Public Computers, Wi-Fi.","Printing, Copying",10:30 AM - 6:00 PM,Closed,Closed,10:30 AM - 6:00 PM,10:30 AM - 6:00 PM,10:30 AM - 6:00 PM,10:30 AM - 4:30 PM
"Women, Pregnant Women and Women with Childrens Services (Gaudenzia)",1,Mental Health,1300 East Tulpehocken Street,Philadelphia,PA,19138,40.0559837,-75.1647762,833-976-4357,Open,"Substance Abuse Counseling, Mental Health Care, Outpatient Treatment, Residential Treatment, Understand Mental Health, Outpatient, Treatment, Group Therapy, Individual Counseling",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed,Closed
Wynnefield Library,1,Library,5325 Overbrook Avenue,Philadelphia,PA,19131,39.9952755,-75.2332788,(215) 685-0298,Open,"Computers, Meeting Spaces, Community Programs.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Wyoming Library,1,Library,231 East Wyoming Avenue,Philadelphia,PA,19120,40.021417,-75.1211331,(215) 685-9158,Open,"Public Computers, Wi-Fi.","Printing, Copying",10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Youth Emergency Service (Youth Service Inc),1,Temporary Shelter,1526 Fairmount Avenue,Philadelphia,PA,19130,39.9668576,-75.1631024,215-787-0633,Open,"Temporary Shelter, Counseling, Navigating the System, Support Network, Meals, Sex Education, Medical Care, Disease Screening, More Education, Screening & Exams",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
Youth Services (Covenant House Pennsylvania),1,Food Bank,31 East Armat St.,Philadelphia,PA,19144,40.0356379,-75.1733708,888-829-1249,Open,"Temporary Shelter, Residential Housing, Short-Term Housing, Meals, Medical Care, Counseling, Financial Education, Navigating the System, Case Management, One-On-One Support, Spiritual Support, Advocacy & Legal Aid",,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM
"Addiction Services (University of Pennsylvania Perelman School of Medicine, Mental Health)",2,Mental Health,245 South 8th Street,Philadelphia,PA,19147,39.9465712,-75.1543901,215-662-8747,Open,,"Addiction and Recovery, 12-Step, Substance Abuse Counseling, Health Education, Mental Health Care, Counseling, Group Therapy, Individual Counseling, Peer Support, Outpatient, Treatment",8:30 AM - 7:00 PM,8:30 AM - 7:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,Closed,Closed,Closed
Addiction Services (University of Pennsylvania Perelman School of Medicine; Food Bank),2,Food Bank,245 South 8th Street,Philadelphia,PA,19147,39.9465712,-75.1543901,215-662-8747,Open,,"Addiction & Recovery, 12-Step, Substance Abuse Counseling, Health Education, Mental Health Care, Counseling, Group Therapy, Individual Counseling, Peer Support",8:30 AM - 5:00 PM,8:30 AM - 7:00 PM,8:30 AM - 7:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,Closed,Closed
